2023-09-18 02:02:24.0118|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-09-18 02:02:24.4859|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-18 02:02:24.4859|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-18 02:02:24.4859|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\DwellEase\DwellEase.WebAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-18 02:03:00.9882|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-18 02:03:00.9938|0|INFO|DwellEase.WebAPI.Controllers.ApartmentPageController|Successfully return all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.WebAPI.Controllers.ApartmentPageController.GetAllApartmentPages| body: 
2023-09-18 02:03:01.7275|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-18 02:03:01.7275|0|INFO|DwellEase.WebAPI.Controllers.ApartmentPageController|Successfully return all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.WebAPI.Controllers.ApartmentPageController.GetAllApartmentPages| body: 
2023-09-18 02:03:48.1337|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-09-18 02:10:12.9074|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-09-18 02:10:13.0443|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-18 02:10:13.0443|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-18 02:10:13.0443|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\DwellEase\DwellEase.WebAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-18 02:10:48.7328|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-18 02:10:49.3969|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-18 02:12:38.5599|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get Apartmentpage by id |url: https://localhost/ApartmentPage/Get-ById/477ced2a-8866-40ee-9c2c-113ca4435d7a|action: GetApartmentPageById|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPageByIdAsync| body: 
2023-09-18 02:12:38.8358|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get Apartmentpage by id |url: https://localhost/ApartmentPage/Get-ById/477ced2a-8866-40ee-9c2c-113ca4435d7a|action: GetApartmentPageById|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPageByIdAsync| body: 
